Dates,Occupancy
18-09-2019,24
19-09-2019,30
20-09-2019,41
21-09-2019,34
22-09-2019,22
23-09-2019,28
24-09-2019,29
25-09-2019,29
26-09-2019,27
27-09-2019,37
28-09-2019,40
29-09-2019,36
30-09-2019,32
01-10-2019,29
02-10-2019,36
03-10-2019,39
04-10-2019,31
05-10-2019,37
06-10-2019,38
07-10-2019,35
08-10-2019,22
09-10-2019,29
10-10-2019,35
11-10-2019,18
12-10-2019,20
13-10-2019,16
14-10-2019,20
15-10-2019,23
16-10-2019,17
17-10-2019,25
18-10-2019,25
19-10-2019,22
20-10-2019,22
21-10-2019,12
22-10-2019,13
23-10-2019,18
24-10-2019,21
25-10-2019,14
26-10-2019,16
27-10-2019,17
28-10-2019,17
29-10-2019,25
30-10-2019,17
31-10-2019,13
01-11-2019,22
02-11-2019,20
03-11-2019,21
04-11-2019,20
05-11-2019,18
06-11-2019,28
07-11-2019,25
08-11-2019,26
09-11-2019,22
10-11-2019,18
11-11-2019,16
12-11-2019,12
13-11-2019,12
14-11-2019,14
15-11-2019,18
16-11-2019,27
17-11-2019,14
18-11-2019,14
19-11-2019,15
20-11-2019,18
21-11-2019,23
22-11-2019,24
23-11-2019,21
24-11-2019,16
25-11-2019,10
26-11-2019,18
27-11-2019,16
28-11-2019,24
29-11-2019,27
30-11-2019,26
01-12-2019,13
02-12-2019,15
03-12-2019,23
04-12-2019,23
05-12-2019,15
06-12-2019,20
07-12-2019,19
08-12-2019,21
09-12-2019,13
10-12-2019,15
11-12-2019,22
12-12-2019,32
13-12-2019,22
14-12-2019,26
15-12-2019,19
16-12-2019,11
17-12-2019,18
18-12-2019,19
19-12-2019,19
20-12-2019,28
21-12-2019,28
22-12-2019,27
23-12-2019,26
24-12-2019,28
25-12-2019,36
26-12-2019,37
27-12-2019,30
28-12-2019,35
29-12-2019,38
30-12-2019,40
31-12-2019,37
01-01-2020,31
02-01-2020,18
03-01-2020,30
04-01-2020,27
05-01-2020,12
06-01-2020,11
07-01-2020,17
08-01-2020,17
09-01-2020,13
10-01-2020,13
11-01-2020,19
12-01-2020,22
13-01-2020,21
14-01-2020,32
15-01-2020,24
16-01-2020,25
17-01-2020,25
18-01-2020,25
19-01-2020,19
20-01-2020,13
21-01-2020,11
22-01-2020,16
23-01-2020,9
24-01-2020,11
